Oct 25 2014 14:30:00,Cheshire Wire II,Bury Blue Devils,Priestley College
Nov 8 2014 12:15:00,Oldham Titans,Cheshire Wire II,Oldham Sixth Form College
Nov 15 2014 12:00:00,Cheshire Wire II,Sefton Stars,Priestley College
Dec 13 2014 15:30:00,Manchester Magic II,Cheshire Wire II,Amaechi Basketball Centre
Dec 20 2014 12:00:00,Cheshire Wire II,Childwall Academy,Hawthorns Sports Centre
Jan 25 2015 14:15:00,Bury Blue Devils,Cheshire Wire II,Canon Slade School
Jan 31 2015 12:00:00,Childwall Academy,Cheshire Wire II,Fernhill SC
Feb 7 2015 12:00:00,Cheshire Wire II,Oldham Titans,Priestley College
Feb 14 2015 12:00:00,Sefton Stars,Cheshire Wire II,Hawthorns SC
Mar 7 2015 12:00:00,Cheshire Wire II,Manchester Magic II,Priestley College
